text,author,timestamp,comment_id,permalink
"How do I set up the webhook integration? I keep getting an error when I try to connect it.","Sarah_K","2026-06-18T10:23:00","c001","https://example.com/comments/c001"
"I love this tool! It saved me so much time on my weekly content planning.","Mike_D","2026-06-18T11:45:00","c002","https://example.com/comments/c002"
"Is there a way to export the data to Notion? I wish there was a direct integration.","Tom_R","2026-06-18T12:00:00","c003","https://example.com/comments/c003"
"Can someone help me? The dashboard is not working after the latest update. This is urgent.","Lisa_M","2026-06-18T13:15:00","c004","https://example.com/comments/c004"
"I'm struggling with the clustering feature. It keeps grouping unrelated comments together. Any tips?","Anna_B","2026-06-18T14:30:00","c005","https://example.com/comments/c005"
"This is too expensive for what it does. I wouldn't use it at this price point.","Chris_W","2026-06-18T15:00:00","c006","https://example.com/comments/c006"
"Thank you for adding the CSV export feature! It's perfect for my workflow.","Jen_L","2026-06-18T15:45:00","c007","https://example.com/comments/c007"
"How do I import comments from YouTube? I can't find the option anywhere.","Dave_K","2026-06-18T16:00:00","c008","https://example.com/comments/c008"
"The app is crashing when I upload large CSV files. Please fix this!","Mark_S","2026-06-18T16:30:00","c009","https://example.com/comments/c009"
"I wish there was a way to filter comments by sentiment. That would be so helpful for sorting through feedback.","Emma_T","2026-06-18T17:00:00","c010","https://example.com/comments/c010"
"Great product, but I wish there was a mobile app version. I do most of my work on my phone.","Peter_J","2026-06-18T17:30:00","c011","https://example.com/comments/c011"
"Why would I use this over just reading comments manually? I don't see the value yet.","Rachel_H","2026-06-18T18:00:00","c012","https://example.com/comments/c012"
"Can I use this for Instagram comments too? How does that work?","Sophie_L","2026-06-18T18:30:00","c013","https://example.com/comments/c013"
"The weekly brief export is amazing! It's exactly what I needed for my content planning.","Olivia_W","2026-06-18T19:00:00","c014","https://example.com/comments/c014"
"I'm confused by the theme labels. They don't seem to match what the comments are actually about.","Kevin_B","2026-06-18T19:30:00","c015","https://example.com/comments/c015"
"Help! I can't log in after the update. It keeps saying my session expired.","Nina_A","2026-06-18T20:00:00","c016","https://example.com/comments/c016"
"I prefer the old interface. This new one is too complex and overwhelming.","Frank_D","2026-06-18T20:30:00","c017","https://example.com/comments/c017"
"Awesome update! The new clustering is so much more accurate.","Grace_M","2026-06-18T21:00:00","c018","https://example.com/comments/c018"
"Is there an API? I want to build a custom integration for my team.","Henry_T","2026-06-18T21:30:00","c019","https://example.com/comments/c019"
"I keep getting overwhelmed by the number of comments. Is there a way to auto-prioritize the most important ones?","Iris_W","2026-06-18T22:00:00","c020","https://example.com/comments/c020"
